"","strain","subtype","date","country","state","season","lat","lng"
"100380","KY003485","H3N2","2016-09-12","USA","Maine","2016-2017",45.253783,-69.4454689
"43573","CY234883","H3N2","2016-09-09","USA","Connecticut","2016-2017",41.6032207,-73.087749
"84010","CY208752","H3N2","2016-09-09","USA","Iowa","2016-2017",41.8780025,-93.097702
"140898","KY003479","H3N2","2016-09-09","USA","Montana","2016-2017",46.8796822,-110.3625658
"12541","KY003458","H3N2","2016-09-08","USA","Alaska","2016-2017",64.2008413,-149.4936733
"185859","KY003379","H3N2","2016-09-08","USA","North Carolina","2016-2017",35.7595731,-79.0192997
"187077","KY115846","H3N2","2016-09-08","USA","North Carolina","2016-2017",35.7595731,-79.0192997
"56959","KY115982","H3N2","2016-09-07","USA","Florida","2016-2017",27.6648274,-81.5157535
"62049","KY003496","H3N2","2016-09-07","USA","Hawaii","2016-2017",21.3155434,-157.8615682
"146895","KY003480","H3N2","2016-09-07","USA","New Hampshire","2016-2017",43.1938516,-71.5723953
"252329","KY044209","H3N2","2016-09-07","USA","Wisconsin","2016-2017",43.7844397,-88.7878678
"55922","KY697310","H3N2","2016-09-06","USA","Florida","2016-2017",27.6648274,-81.5157535
"56748","KY697318","H3N2","2016-09-06","USA","Florida","2016-2017",27.6648274,-81.5157535
"142593","KY115926","H3N2","2016-09-06","USA","Nebraska","2016-2017",41.4925374,-99.9018131
"227661","KY003566","H3N2","2016-09-06","USA","Texas","2016-2017",31.9685988,-99.9018131
"222490","KY044202","H3N2","2016-09-05","USA","Texas","2016-2017",31.9685988,-99.9018131
"63691","KY003487","H3N2","2016-09-04","USA","Hawaii","2016-2017",21.3155434,-157.8615682
"237297","CY234899","H3N2","2016-09-04","USA","Washington","2016-2017",47.7510741,-120.7401385
"89530","KY003406","H3N2","2016-09-02","USA","Iowa","2016-2017",41.8780025,-93.097702
"118359","KY115878","H3N2","2016-08-31","USA","Michigan","2016-2017",44.3148443,-85.6023643
"217089","KY003578","H3N2","2016-08-31","USA","Texas","2016-2017",31.9685988,-99.9018131
"218386","KY003548","H3N2","2016-08-31","USA","Texas","2016-2017",31.9685988,-99.9018131
"185764","KY003432","H3N2","2016-08-28","USA","North Carolina","2016-2017",35.7595731,-79.0192997
"218052","KX916396","H3N2","2016-08-28","USA","Texas","2016-2017",31.9685988,-99.9018131
"172112","KY045455","H3N2","2016-08-23","USA","New York","2016-2017",40.7127753,-74.0059728
"118805","KX916916","H3N2","2016-08-21","USA","Michigan","2016-2017",44.3148443,-85.6023643
"67980","KY115862","H3N2","2016-08-20","USA","Illinois","2016-2017",40.6331249,-89.3985283
"92323","KX916364","H3N2","2016-08-19","USA","Iowa","2016-2017",41.8780025,-93.097702
"190631","KX916340","H3N2","2016-08-17","USA","Ohio","2016-2017",40.4172871,-82.907123
"219221","KX916876","H3N2","2016-08-15","USA","Texas","2016-2017",31.9685988,-99.9018131
"189786","KY003550","H3N2","2016-08-14","USA","Ohio","2016-2017",40.4172871,-82.907123
"103477","CY234888","H3N2","2016-08-13","USA","Maryland","2016-2017",39.0457549,-76.6412712
"141803","KX916892","H3N2","2016-08-11","USA","Nebraska","2016-2017",41.4925374,-99.9018131
"34850","KY116374","H3N2","2016-08-10","USA","California","2016-2017",36.778261,-119.4179324
"30650","KY116382","H3N2","2016-08-10","USA","California","2016-2017",36.778261,-119.4179324
"36092","CY211578","H3N2","2016-08-10","USA","California","2016-2017",36.778261,-119.4179324
"193291","KX916868","H3N2","2016-08-10","USA","Ohio","2016-2017",40.4172871,-82.907123
"241457","KX916924","H3N2","2016-08-08","USA","Wisconsin","2016-2017",43.7844397,-88.7878678
"152625","KY078633","H3N2","2016-08-04","USA","New Jersey","2016-2017",40.0583238,-74.4056612
"218039","KX916884","H3N2","2016-08-04","USA","Texas","2016-2017",31.9685988,-99.9018131
"61706","KX916356","H3N2","2016-08-03","USA","Hawaii","2016-2017",21.3155434,-157.8615682
"147290","KY078632","H3N2","2016-08-02","USA","New Jersey","2016-2017",40.0583238,-74.4056612
"62633","KX916348","H3N2","2016-07-31","USA","Hawaii","2016-2017",21.3155434,-157.8615682
"144513","KY115966","H3N2","2016-07-29","USA","Nevada","2016-2017",38.8026097,-116.419389
"148978","KY078629","H3N2","2016-07-27","USA","New Jersey","2016-2017",40.0583238,-74.4056612
"159356","KY045443","H3N2","2016-07-27","USA","New York","2016-2017",40.7127753,-74.0059728
"152093","KY078628","H3N2","2016-07-26","USA","New Jersey","2016-2017",40.0583238,-74.4056612
"506888","MF182517","H3N2","2016-07-18","Philippines",NA,"2016-2017",12.879721,121.774017
"164552","KX916932","H3N2","2016-07-13","USA","New York","2016-2017",40.7127753,-74.0059728
"36284","KY003522","H3N2","2016-07-12","USA","California","2016-2017",36.778261,-119.4179324
"118393","KY003555","H3N2","2016-07-12","USA","Michigan","2016-2017",44.3148443,-85.6023643
"160270","KX916940","H3N2","2016-07-12","USA","New York","2016-2017",40.7127753,-74.0059728
"62953","KX916836","H3N2","2016-07-11","USA","Hawaii","2016-2017",21.3155434,-157.8615682
"231348","KX916980","H3N2","2016-07-10","USA","Utah","2016-2017",39.3209801,-111.0937311
"31603","KY003564","H3N2","2016-07-09","USA","California","2016-2017",36.778261,-119.4179324
"137207","KX916804","H3N2","2016-07-09","USA","Missouri","2016-2017",37.9642529,-91.8318334
"60549","KX916508","H3N2","2016-07-05","USA","Georgia","2016-2017",32.1656221,-82.9000751
"482322","KY872762","H3N2","2016-07-04","Kenya",NA,"2016-2017",-0.023559,37.906193
"242794","KX916812","H3N2","2016-07-04","USA","Wisconsin","2016-2017",43.7844397,-88.7878678
"302735","KY872763","H3N2","2016-07-03","Kenya",NA,"2016-2017",-0.023559,37.906193
"77885","KY935491","H3N2","2016-07-01","USA","Indiana","2016-2017",40.2671941,-86.1349019
"80582","KY935501","H3N2","2016-07-01","USA","Indiana","2016-2017",40.2671941,-86.1349019
"77732","KY935535","H3N2","2016-07-01","USA","Indiana","2016-2017",40.2671941,-86.1349019
"65604","CY210018","H3N2","2016-06-28","USA","Idaho","2015-2016",44.0682019,-114.7420408
"38253","KX916324","H3N2","2016-06-27","USA","California","2015-2016",36.778261,-119.4179324
"143551","KX916476","H3N2","2016-06-27","USA","Nebraska","2015-2016",41.4925374,-99.9018131
"62155","KX916316","H3N2","2016-06-24","USA","Hawaii","2015-2016",21.3155434,-157.8615682
"133368","KX916468","H3N2","2016-06-23","USA","Minnesota","2015-2016",46.729553,-94.6858998
"222021","KX916500","H3N2","2016-06-23","USA","Texas","2015-2016",31.9685988,-99.9018131
"225597","KX916228","H3N2","2016-06-22","USA","Texas","2015-2016",31.9685988,-99.9018131
"226099","KX916236","H3N2","2016-06-22","USA","Texas","2015-2016",31.9685988,-99.9018131
"65220","KX916220","H3N2","2016-06-20","USA","Idaho","2015-2016",44.0682019,-114.7420408
"10002","KX916780","H3N2","2016-06-15","USA","Alaska","2015-2016",64.2008413,-149.4936733
"55641","KX916796","H3N2","2016-06-13","USA","Florida","2015-2016",27.6648274,-81.5157535
"63159","KX916492","H3N2","2016-06-07","USA","Hawaii","2015-2016",21.3155434,-157.8615682
"65755","KX916204","H3N2","2016-06-07","USA","Idaho","2015-2016",44.0682019,-114.7420408
"65757","KX885880","H3N2","2016-06-07","USA","Idaho","2015-2016",44.0682019,-114.7420408
"65735","KX916212","H3N2","2016-06-07","USA","Idaho","2015-2016",44.0682019,-114.7420408
"2609","KX916788","H3N2","2016-06-06","USA","Alaska","2015-2016",64.2008413,-149.4936733
"76921","KY935555","H3N2","2016-06-01","USA","Indiana","2015-2016",40.2671941,-86.1349019
"79936","KY935523","H3N2","2016-06-01","USA","Indiana","2015-2016",40.2671941,-86.1349019
"88478","KY044154","H3N2","2016-06-01","USA","Iowa","2015-2016",41.8780025,-93.097702
"35339","KX916452","H3N2","2016-05-30","USA","California","192016-2005",36.778261,-119.4179324
"289232","KY273052","H3N2","2016-05-25","China",NA,"2015-2016",35.86166,104.195397
"60395","KX916404","H3N2","2016-05-24","USA","Georgia","192016-2005",32.1656221,-82.9000751
"208552","KY044173","H3N2","2016-05-24","USA","South Carolina","192016-2005",33.836081,-81.1637245
"209229","KX916668","H3N2","2016-05-24","USA","South Carolina","192016-2005",33.836081,-81.1637245
"231449","KX916196","H3N2","2016-05-24","USA","Utah","192016-2005",39.3209801,-111.0937311
"209847","KX916628","H3N2","2016-05-23","USA","South Carolina","192016-2005",33.836081,-81.1637245
"224387","KX916428","H3N2","2016-05-23","USA","Texas","192016-2005",31.9685988,-99.9018131
"62723","KX916484","H3N2","2016-05-21","USA","Hawaii","192016-2005",21.3155434,-157.8615682
"120564","KY115958","H3N2","2016-05-21","USA","Michigan","192016-2005",44.3148443,-85.6023643
"222926","KX918404","H3N2","2016-05-21","USA","Texas","192016-2005",31.9685988,-99.9018131
"208944","KY078643","H3N2","2016-05-17","USA","South Carolina","192016-2005",33.836081,-81.1637245
"209099","KY078642","H3N2","2016-05-16","USA","South Carolina","192016-2005",33.836081,-81.1637245
"220194","KX916412","H3N2","2016-05-16","USA","Texas","192016-2005",31.9685988,-99.9018131
"64316","KX916732","H3N2","2016-05-15","USA","Idaho","192016-2005",44.0682019,-114.7420408
"65334","KX916724","H3N2","2016-05-13","USA","Idaho","192016-2005",44.0682019,-114.7420408
"91736","KX918308","H3N2","2016-05-13","USA","Iowa","192016-2005",41.8780025,-93.097702
"237971","KX916756","H3N2","2016-05-13","USA","Washington","192016-2005",47.7510741,-120.7401385
"209062","KY078640","H3N2","2016-05-12","USA","South Carolina","192016-2005",33.836081,-81.1637245
"209973","KY078641","H3N2","2016-05-12","USA","South Carolina","192016-2005",33.836081,-81.1637245
"58172","KX918348","H3N2","2016-05-11","USA","Florida","192016-2005",27.6648274,-81.5157535
"92100","KX918300","H3N2","2016-05-11","USA","Iowa","192016-2005",41.8780025,-93.097702
"209645","KX916516","H3N2","2016-05-11","USA","South Carolina","192016-2005",33.836081,-81.1637245
"208705","KY044166","H3N2","2016-05-11","USA","South Carolina","192016-2005",33.836081,-81.1637245
"209098","KY078639","H3N2","2016-05-11","USA","South Carolina","192016-2005",33.836081,-81.1637245
"19156","KX916716","H3N2","2016-05-09","USA","Arizona","192016-2005",34.0489281,-111.0937311
"230916","KX918124","H3N2","2016-05-09","USA","Utah","192016-2005",39.3209801,-111.0937311
"193667","KX918068","H3N2","2016-05-08","USA","Ohio","192016-2005",40.4172871,-82.907123
"218809","KX916436","H3N2","2016-05-08","USA","Texas","192016-2005",31.9685988,-99.9018131
"54877","KX918220","H3N2","2016-05-05","USA","Florida","192016-2005",27.6648274,-81.5157535
"209500","KY078638","H3N2","2016-05-05","USA","South Carolina","192016-2005",33.836081,-81.1637245
"232271","KX916604","H3N2","2016-05-05","USA","Vermont","192016-2005",44.5588028,-72.5778415
"20140","KX916828","H3N2","2016-05-04","USA","Arizona","192016-2005",34.0489281,-111.0937311
"54220","CY210017","H3N2","2016-05-04","USA","Florida","192016-2005",27.6648274,-81.5157535
"192120","KX918060","H3N2","2016-05-04","USA","Ohio","192016-2005",40.4172871,-82.907123
"204547","KX916140","H3N2","2016-05-04","USA","Pennsylvania","192016-2005",41.2033216,-77.1945247
"208941","KY078637","H3N2","2016-05-04","USA","South Carolina","192016-2005",33.836081,-81.1637245
"206393","KX918252","H3N2","2016-05-02","USA","Pennsylvania","192016-2005",41.2033216,-77.1945247
"239009","KX917948","H3N2","2016-05-02","USA","Washington","192016-2005",47.7510741,-120.7401385
"40703","KX917836","H3N2","2016-05-01","USA","Colorado","192016-2005",39.5500507,-105.7820674
"96057","KX917900","H3N2","2016-04-28","USA","Kentucky","192016-2004",37.8393332,-84.2700179
"232191","KX917996","H3N2","2016-04-28","USA","Vermont","192016-2004",44.5588028,-72.5778415
"64521","KX917932","H3N2","2016-04-27","USA","Idaho","192016-2004",44.0682019,-114.7420408
"233185","KX918004","H3N2","2016-04-27","USA","Vermont","192016-2004",44.5588028,-72.5778415
"176205","KX918052","H3N2","2016-04-26","USA","New York","192016-2004",40.7127753,-74.0059728
"159544","KX918316","H3N2","2016-04-26","USA","New York","192016-2004",40.7127753,-74.0059728
"95037","KX918284","H3N2","2016-04-25","USA","Kentucky","192016-2004",37.8393332,-84.2700179
"127173","KX417000","H3N2","2016-04-24","USA","Minnesota","192016-2004",46.729553,-94.6858998
"236183","KX917972","H3N2","2016-04-24","USA","Washington","192016-2004",47.7510741,-120.7401385
"231991","KX917796","H3N2","2016-04-23","USA","Utah","192016-2004",39.3209801,-111.0937311
"41750","KX917828","H3N2","2016-04-22","USA","Colorado","192016-2004",39.5500507,-105.7820674
"382013","KY925917","H3N2","2016-04-22","Brazil",NA,"2015-2016",-14.235004,-51.92528
"223432","KX417008","H3N2","2016-04-22","USA","Texas","192016-2004",31.9685988,-99.9018131
"232135","KX917788","H3N2","2016-04-22","USA","Utah","192016-2004",39.3209801,-111.0937311
"18709","KX917868","H3N2","2016-04-20","USA","Arizona","192016-2004",34.0489281,-111.0937311
"27605","KX918028","H3N2","2016-04-20","USA","California","192016-2004",36.778261,-119.4179324
"92117","KX417016","H3N2","2016-04-20","USA","Iowa","192016-2004",41.8780025,-93.097702
"145283","KX917564","H3N2","2016-04-20","USA","Nevada","192016-2004",38.8026097,-116.419389
"235094","KX413270","H3N2","2016-04-20","USA","Virginia","192016-2004",37.4315734,-78.6568942
"234266","KX917756","H3N2","2016-04-20","USA","Virginia","192016-2004",37.4315734,-78.6568942
"183844","KX416936","H3N2","2016-04-19","USA","North Carolina","192016-2004",35.7595731,-79.0192997
"19434","KX917876","H3N2","2016-04-18","USA","Arizona","192016-2004",34.0489281,-111.0937311
"59438","KX916556","H3N2","2016-04-18","USA","Georgia","192016-2004",32.1656221,-82.9000751
"135556","KX917428","H3N2","2016-04-18","USA","Mississippi","192016-2004",32.3546679,-89.3985283
"154375","KX917620","H3N2","2016-04-18","USA","New Jersey","192016-2004",40.0583238,-74.4056612
"422205","MF195739","H3N2","2016-04-18","Canada",NA,"192016-2004",56.130366,-106.346771
"241913","KX416992","H3N2","2016-04-18","USA","Wisconsin","192016-2004",43.7844397,-88.7878678
"30670","KX918036","H3N2","2016-04-17","USA","California","192016-2004",36.778261,-119.4179324
"59123","KX916300","H3N2","2016-04-17","USA","Georgia","192016-2004",32.1656221,-82.9000751
"253527","KX917732","H3N2","2016-04-17","USA","Wyoming","192016-2004",43.0759678,-107.2902839
"64248","KX917604","H3N2","2016-04-16","USA","Idaho","192016-2004",44.0682019,-114.7420408
"121738","KX917484","H3N2","2016-04-15","USA","Minnesota","192016-2004",46.729553,-94.6858998
"210954","KX416912","H3N2","2016-04-15","USA","South Dakota","192016-2004",43.9695148,-99.9018131
"233241","KX416872","H3N2","2016-04-15","USA","Vermont","192016-2004",44.5588028,-72.5778415
"97492","KX918260","H3N2","2016-04-14","USA","Louisiana","192016-2004",30.9842977,-91.9623327
"387957","MF195738","H3N2","2016-04-14","Canada",NA,"192016-2004",56.130366,-106.346771
"207754","KX917780","H3N2","2016-04-13","USA","Rhode Island","192016-2004",41.5800945,-71.4774291
"223056","KX416944","H3N2","2016-04-13","USA","Texas","192016-2004",31.9685988,-99.9018131
"234416","KX917764","H3N2","2016-04-13","USA","Virginia","192016-2004",37.4315734,-78.6568942
"142201","CY210030","H3N2","2016-04-12","USA","Nebraska","192016-2004",41.4925374,-99.9018131
"157454","CY209865","H3N2","2016-04-12","USA","New Mexico","192016-2004",34.5199402,-105.8700901
"127203","KX917852","H3N2","2016-04-11","USA","Minnesota","192016-2004",46.729553,-94.6858998
"160109","KX917404","H3N2","2016-04-11","USA","New York","192016-2004",40.7127753,-74.0059728
"223379","KX917420","H3N2","2016-04-11","USA","Texas","192016-2004",31.9685988,-99.9018131
"222005","KX916700","H3N2","2016-04-11","USA","Texas","192016-2004",31.9685988,-99.9018131
"230415","CY209875","H3N2","2016-04-11","USA","Utah","192016-2004",39.3209801,-111.0937311
"238849","KX416824","H3N2","2016-04-11","USA","Washington","192016-2004",47.7510741,-120.7401385
"104844","KY615391","H3N2","2016-04-09","USA","Maryland","192016-2004",39.0457549,-76.6412712
"93900","KX416720","H3N2","2016-04-08","USA","Kansas","192016-2004",39.011902,-98.4842465
"36143","KX918100","H3N2","2016-04-07","USA","California","192016-2004",36.778261,-119.4179324
"37442","CY209851","H3N2","2016-04-07","USA","California","192016-2004",36.778261,-119.4179324
"41284","KX917804","H3N2","2016-04-07","USA","Colorado","192016-2004",39.5500507,-105.7820674
"95875","KX416880","H3N2","2016-04-07","USA","Kentucky","192016-2004",37.8393332,-84.2700179
"492521","MF195742","H3N2","2016-04-07","Canada",NA,"192016-2004",56.130366,-106.346771
"212212","CY209871","H3N2","2016-04-07","USA","South Dakota","192016-2004",43.9695148,-99.9018131
"231543","KX416840","H3N2","2016-04-07","USA","Utah","192016-2004",39.3209801,-111.0937311
"231275","KX416848","H3N2","2016-04-07","USA","Utah","192016-2004",39.3209801,-111.0937311
"235874","KX917956","H3N2","2016-04-07","USA","Washington","192016-2004",47.7510741,-120.7401385
"36454","KY078617","H3N2","2016-04-06","USA","California","192016-2004",36.778261,-119.4179324
"167862","KX918332","H3N2","2016-04-06","USA","New York","192016-2004",40.7127753,-74.0059728
"236742","KX917612","H3N2","2016-04-06","USA","Washington","192016-2004",47.7510741,-120.7401385
"57962","KX416864","H3N2","2016-04-05","USA","Florida","192016-2004",27.6648274,-81.5157535
"95582","KX416888","H3N2","2016-04-04","USA","Kentucky","192016-2004",37.8393332,-84.2700179
"118103","KX416768","H3N2","2016-04-04","USA","Michigan","192016-2004",44.3148443,-85.6023643
"204562","KX416728","H3N2","2016-04-04","USA","Pennsylvania","192016-2004",41.2033216,-77.1945247
"499274","KY328774","H3N2","2016-04-04","Iran",NA,"2015-2016",32.427908,53.688046
"144570","KX416696","H3N2","2016-04-03","USA","Nevada","192016-2004",38.8026097,-116.419389
"238180","CY209882","H3N2","2016-04-03","USA","Washington","192016-2004",47.7510741,-120.7401385
"92984","KX416712","H3N2","2016-04-02","USA","Kansas","192016-2004",39.011902,-98.4842465
"150341","KX416584","H3N2","2016-04-02","USA","New Jersey","192016-2004",40.0583238,-74.4056612
"150337","KX416592","H3N2","2016-04-02","USA","New Jersey","192016-2004",40.0583238,-74.4056612
"223188","KX416968","H3N2","2016-04-02","USA","Texas","192016-2004",31.9685988,-99.9018131
"61060","KX918292","H3N2","2016-04-01","USA","Hawaii","192016-2004",21.3155434,-157.8615682
"459177","MF195727","H3N2","2016-03-31","Canada",NA,"192016-2003",56.130366,-106.346771
"118142","KX917396","H3N2","2016-03-31","USA","Michigan","192016-2003",44.3148443,-85.6023643
"165102","KX917388","H3N2","2016-03-31","USA","New York","192016-2003",40.7127753,-74.0059728
"204738","KX917700","H3N2","2016-03-31","USA","Pennsylvania","192016-2003",41.2033216,-77.1945247
"210691","KX917524","H3N2","2016-03-31","USA","South Dakota","192016-2003",43.9695148,-99.9018131
"236935","KY044463","H3N2","2016-03-31","USA","Washington","192016-2003",47.7510741,-120.7401385
"40021","KX917492","H3N2","2016-03-30","USA","Colorado","192016-2003",39.5500507,-105.7820674
"54304","KX416416","H3N2","2016-03-30","USA","Florida","192016-2003",27.6648274,-81.5157535
"146812","KX416624","H3N2","2016-03-30","USA","New Hampshire","192016-2003",43.1938516,-71.5723953
"183735","KX917348","H3N2","2016-03-30","USA","North Carolina","192016-2003",35.7595731,-79.0192997
"230488","CY209874","H3N2","2016-03-30","USA","Utah","192016-2003",39.3209801,-111.0937311
"449787","KY328773","H3N2","2016-03-30","Iran",NA,"2015-2016",32.427908,53.688046
"162362","KY044484","H3N2","2016-03-29","USA","New York","192016-2003",40.7127753,-74.0059728
"199306","KX917588","H3N2","2016-03-29","USA","Oklahoma","192016-2003",35.0077519,-97.092877
"211574","KX917516","H3N2","2016-03-29","USA","South Dakota","192016-2003",43.9695148,-99.9018131
"23816","CY209850","H3N2","2016-03-28","USA","California","192016-2003",36.778261,-119.4179324
"43374","KX918164","H3N2","2016-03-28","USA","Connecticut","192016-2003",41.6032207,-73.087749
"46243","KX416216","H3N2","2016-03-28","USA","Delaware","192016-2003",38.9108325,-75.5276699
"87997","KX416960","H3N2","2016-03-28","USA","Iowa","192016-2003",41.8780025,-93.097702
"109650","KX416560","H3N2","2016-03-28","USA","Massachusetts","192016-2003",42.4072107,-71.3824374
"129972","KX416408","H3N2","2016-03-28","USA","Minnesota","192016-2003",46.729553,-94.6858998
"195865","CY210049","H3N2","2016-03-28","USA","Ohio","192016-2003",40.4172871,-82.907123
"228618","KX413134","H3N2","2016-03-28","USA","Texas","192016-2003",31.9685988,-99.9018131
"41682","KX416520","H3N2","2016-03-27","USA","Colorado","192016-2003",39.5500507,-105.7820674
"43084","KX918180","H3N2","2016-03-27","USA","Connecticut","192016-2003",41.6032207,-73.087749
"157624","KX416776","H3N2","2016-03-27","USA","New Mexico","192016-2003",34.5199402,-105.8700901
"234568","KX413110","H3N2","2016-03-27","USA","Virginia","192016-2003",37.4315734,-78.6568942
"368039","KY328772","H3N2","2016-03-26","Iran",NA,"2015-2016",32.427908,53.688046
"56023","KX416448","H3N2","2016-03-26","USA","Florida","192016-2003",27.6648274,-81.5157535
"197248","CY208469","H3N2","2016-03-26","USA","Ohio","192016-2003",40.4172871,-82.907123
"235610","KX413118","H3N2","2016-03-26","USA","Virginia","192016-2003",37.4315734,-78.6568942
"38244","KX918116","H3N2","2016-03-25","USA","California","192016-2003",36.778261,-119.4179324
"231932","CY209873","H3N2","2016-03-25","USA","Utah","192016-2003",39.3209801,-111.0937311
"184329","KY044442","H3N2","2016-03-24","USA","North Carolina","192016-2003",35.7595731,-79.0192997
"219934","KX416184","H3N2","2016-03-24","USA","Texas","192016-2003",31.9685988,-99.9018131
"231728","KX416352","H3N2","2016-03-24","USA","Utah","192016-2003",39.3209801,-111.0937311
"32490","KY078600","H3N2","2016-03-23","USA","California","192016-2003",36.778261,-119.4179324
"225275","KX916692","H3N2","2016-03-23","USA","Texas","192016-2003",31.9685988,-99.9018131
"253365","KX416504","H3N2","2016-03-23","USA","Wyoming","192016-2003",43.0759678,-107.2902839
"20016","CY209847","H3N2","2016-03-22","USA","Arizona","192016-2003",34.0489281,-111.0937311
"188849","KX416536","H3N2","2016-03-22","USA","North Dakota","192016-2003",47.5514926,-101.0020119
"18642","CY209846","H3N2","2016-03-21","USA","Arizona","192016-2003",34.0489281,-111.0937311
"76807","KX416400","H3N2","2016-03-21","USA","Indiana","192016-2003",40.2671941,-86.1349019
"76811","KX917308","H3N2","2016-03-21","USA","Indiana","192016-2003",40.2671941,-86.1349019
"219210","KX917284","H3N2","2016-03-21","USA","Texas","192016-2003",31.9685988,-99.9018131
"235677","KX917468","H3N2","2016-03-21","USA","Washington","192016-2003",47.7510741,-120.7401385
"250343","KX416312","H3N2","2016-03-21","USA","Wisconsin","192016-2003",43.7844397,-88.7878678
"253015","KX416488","H3N2","2016-03-21","USA","Wyoming","192016-2003",43.0759678,-107.2902839
"25036","KX416688","H3N2","2016-03-20","USA","California","192016-2003",36.778261,-119.4179324
"36352","KY078625","H3N2","2016-03-20","USA","California","192016-2003",36.778261,-119.4179324
"59107","KX916268","H3N2","2016-03-20","USA","Georgia","192016-2003",32.1656221,-82.9000751
"63162","KX916740","H3N2","2016-03-20","USA","Hawaii","192016-2003",21.3155434,-157.8615682
"80756","KX416392","H3N2","2016-03-20","USA","Indiana","192016-2003",40.2671941,-86.1349019
"157251","KX416280","H3N2","2016-03-20","USA","New Mexico","192016-2003",34.5199402,-105.8700901
"168401","KX416752","H3N2","2016-03-20","USA","New York","192016-2003",40.7127753,-74.0059728
"211506","KX917508","H3N2","2016-03-20","USA","South Dakota","192016-2003",43.9695148,-99.9018131
"220213","KX416256","H3N2","2016-03-20","USA","Texas","192016-2003",31.9685988,-99.9018131
"218817","KX917260","H3N2","2016-03-20","USA","Texas","192016-2003",31.9685988,-99.9018131
"235029","KX416272","H3N2","2016-03-20","USA","Virginia","192016-2003",37.4315734,-78.6568942
"236391","CY209880","H3N2","2016-03-20","USA","Washington","192016-2003",47.7510741,-120.7401385
"55972","KX416048","H3N2","2016-03-18","USA","Florida","192016-2003",27.6648274,-81.5157535
"98367","KX416920","H3N2","2016-03-18","USA","Louisiana","192016-2003",30.9842977,-91.9623327
"147248","KX416136","H3N2","2016-03-18","USA","New Hampshire","192016-2003",43.1938516,-71.5723953
"146582","KX416144","H3N2","2016-03-18","USA","New Hampshire","192016-2003",43.1938516,-71.5723953
"207419","KX416080","H3N2","2016-03-18","USA","Pennsylvania","192016-2003",41.2033216,-77.1945247
"43264","KX918188","H3N2","2016-03-16","USA","Connecticut","192016-2003",41.6032207,-73.087749
"222996","KX416176","H3N2","2016-03-16","USA","Texas","192016-2003",31.9685988,-99.9018131
"243890","KX416304","H3N2","2016-03-16","USA","Wisconsin","192016-2003",43.7844397,-88.7878678
"20022","CY209845","H3N2","2016-03-15","USA","Arizona","192016-2003",34.0489281,-111.0937311
"27383","KX416680","H3N2","2016-03-15","USA","California","192016-2003",36.778261,-119.4179324
"117198","KY044147","H3N2","2016-03-15","USA","Michigan","192016-2003",44.3148443,-85.6023643
"119714","KX416760","H3N2","2016-03-15","USA","Michigan","192016-2003",44.3148443,-85.6023643
"188555","KX416528","H3N2","2016-03-15","USA","North Dakota","192016-2003",47.5514926,-101.0020119
"203327","KX416240","H3N2","2016-03-15","USA","Oregon","192016-2003",43.8041334,-120.5542012
"231527","CY209792","H3N2","2016-03-15","USA","Utah","192016-2003",39.3209801,-111.0937311
"92550","KX415696","H3N2","2016-03-14","USA","Kansas","192016-2003",39.011902,-98.4842465
"338441","MF195737","H3N2","2016-03-14","Canada",NA,"192016-2003",56.130366,-106.346771
"254205","KX416072","H3N2","2016-03-14","USA","Wyoming","192016-2003",43.0759678,-107.2902839
"389244","KY273051","H3N2","2016-03-14","China",NA,"2015-2016",35.86166,104.195397
"20108","KX917548","H3N2","2016-03-13","USA","Arizona","192016-2003",34.0489281,-111.0937311
"19113","KX917556","H3N2","2016-03-13","USA","Arizona","192016-2003",34.0489281,-111.0937311
"57955","KX416032","H3N2","2016-03-13","USA","Florida","192016-2003",27.6648274,-81.5157535
"40944","CY209770","H3N2","2016-03-11","USA","Colorado","192016-2003",39.5500507,-105.7820674
"40766","CY209771","H3N2","2016-03-11","USA","Colorado","192016-2003",39.5500507,-105.7820674
"42417","KX918204","H3N2","2016-03-11","USA","Connecticut","192016-2003",41.6032207,-73.087749
"104901","KX416704","H3N2","2016-03-11","USA","Maryland","192016-2003",39.0457549,-76.6412712
"252051","KX415744","H3N2","2016-03-11","USA","Wisconsin","192016-2003",43.7844397,-88.7878678
"244064","KX415760","H3N2","2016-03-11","USA","Wisconsin","192016-2003",43.7844397,-88.7878678
"145881","KX416008","H3N2","2016-03-10","USA","Nevada","192016-2003",38.8026097,-116.419389
"146623","KY044470","H3N2","2016-03-10","USA","New Hampshire","192016-2003",43.1938516,-71.5723953
"146620","KX416616","H3N2","2016-03-10","USA","New Hampshire","192016-2003",43.1938516,-71.5723953
"205715","KX917196","H3N2","2016-03-10","USA","Pennsylvania","192016-2003",41.2033216,-77.1945247
"205485","KX416088","H3N2","2016-03-10","USA","Pennsylvania","192016-2003",41.2033216,-77.1945247
"235165","KX416056","H3N2","2016-03-10","USA","Virginia","192016-2003",37.4315734,-78.6568942
"252991","KX416064","H3N2","2016-03-10","USA","Wyoming","192016-2003",43.0759678,-107.2902839
"19849","CY209765","H3N2","2016-03-09","USA","Arizona","192016-2003",34.0489281,-111.0937311
"146817","KX415568","H3N2","2016-03-09","USA","New Hampshire","192016-2003",43.1938516,-71.5723953
"392858","MF195741","H3N2","2016-03-09","Canada",NA,"192016-2003",56.130366,-106.346771
