"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","successful_clade"
"name","Clade","number of tips","number of tips after removing the future tips","sackin","colless","Variance","I2","B1","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","tips_pairwise_distance","tips_pairwise_distance_max","diameter","WienerIndex","betweenness","closeness","eigenvector","successful_clade"
"","19795","20","7","0.385714285714286","0.741449942933203","4460.15316199619","3.33333333333333","3.08333333333333","0.4","0.6","0.428571428571429","0.833333333333333","4","2","0.666666666666667","0.588888888888889","2","0.0114951615926476","1.55820265285614","1.13793103448276","1.5","3.25","27.9183673469388","202","6","242","47","0.0416666666666667","0.507140799007788","1"
"","20344","24","24","1.57308364449299","2.062877690212","2169.84977183674","12.6515151515152","11.3456349206349","0.113636363636364","0.454545454545455","0.375","0.478260869565217","8","4","0.652173913043478","0.560702582441713","7","0.0275560623064384","0.391279764928899","4.18707024078055","1.71019027651038","4.92204912845987","19.3072916666667","188","14","7266","633","0.00490196078431373","0.326890544873639","0"
"","20371","25","17","1.82677730765966","2.63565935297432","6076.85614809759","10.8923076923077","6.51987734487734","0.466666666666667","0.6","0.352941176470588","0.75","4","2","0.75","0.436659000721501","4","0.0121682162167224","1.35818368794285","4.00691712315341","1.82958804280267","5.09557657484129","40.1384083044983","248","14","3308","271","0.00699300699300699","0.299453159453952","1"
"","10647","30","30","0.0766924048258848","-0.0185991944355436","1584.48565679547","13.0357142857143","15.9178571428571","0.0714285714285714","0.357142857142857","0.5","0.310344827586207","10","4","0.551724137931034","0.667716096164372","10","0.067261821735816","-1.74900750417938","4.33008945792558","1.43862190162389","3.84258387343849","22.12","137","14","12348","1021","0.00380228136882129","0.356509927087432","0"
"","10692","25","25","0.0480836444929867","0.0570556956917446","2292.08617274425","11.6619612271786","12.9595238095238","0.130434782608696","0.391304347826087","0.48","0.333333333333333","10","4","0.625","0.639295502203111","8","0.0545449907662574","-2.03484715778022","0.773018853369662","0.664127184688008","2.01287318928351","26.3488","183","13","7532","711","0.00515463917525773","0.353703267362101","0"
"","10787","30","30","0.476692404825885","0.781400805564456","1792.37105916093","12.6732267732268","16.0456349206349","0.107142857142857","0.285714285714286","0.3","0.379310344827586","10","4","0.551724137931034","0.64456711870505","11","0.113219249340526","-2.66044776405044","2.18560295731881","2.13829015402891","7.70424243374562","23.4766666666667","158","15","11828","1049","0.00396825396825397","0.333778872308117","0"
"","10841","27","27","1.21708649349584","1.48676132122228","2058.91889245992","12.1095238095238","14.0123015873016","0.12","0.36","0.444444444444444","0.423076923076923","8","4","0.538461538461538","0.637997843850687","9","0.113872711796133","-0.937869636019811","4.56694209965189","2.37874431195883","7.73023444059032","24.6008230452675","173","13","8946","885","0.00485436893203883","0.357922652478039","0"
"","10894","27","16","0.301042013542014","0.280842798320164","11350.9852643623","6.94505494505495","8.28333333333333","0","0.428571428571429","0.75","0.466666666666667","8","4","0.533333333333333","0.679047619047619","5","0.0442763825192345","0.48203212579783","1.06812648723345","1.18633947993703","3.28403652025871","55.12109375","264","10","2390","263","0.00980392156862745","0.366665144141852","1"
"","10952","24","15","-0.236457986457987","-0.125452013875598","9633.69743930314","6.47179487179487","7.78333333333333","0.192307692307692","0.384615384615385","0.4","0.5","10","4","0.571428571428571","0.660837971552257","5","0.0307244757646564","0.792915611493491","2.35805311987451","0.766957964585721","1.82440687414646","48.4088888888889","270","11","2068","251","0.010989010989011","0.402047231867947","1"
"","10991","21","15","0.03020868020868","0.274547986124402","5294.64089620543","8.33461538461538","7.03333333333333","0.192307692307692","0.538461538461538","0.6","0.5","6","2","0.714285714285714","0.575680272108844","4","0.0431203420328528","0.0869601505616898","1.63131972201734","1.5772540479896","4.89819295160741","38.9866666666667","238","12","2188","227","0.00980392156862745","0.418313320435038","1"
"","11035","24","24","0.364750311159654","0.187877690211999","1449.45390354883","10.1761904761905","13.0095238095238","0.0909090909090909","0.363636363636364","0.75","0.347826086956522","14","6","0.565217391304348","0.697335493743811","8","0.0791150296077148","-0.794899581025089","3.73435214746254","1.63926214176489","4.4560177006746","20.9930555555556","149","11","6292","665","0.00609756097560976","0.366555254235513","0"
